sura,aya,text
1,1,"அளவற்ற அருளாளனும், நிகரற்ற அன்புடையோனுமாகிய அல்லாஹ்வின் திருப்பெயரால்(துவங்குகிறேன்)"
1,2,எல்லாப் புகழும் அனைத்துலகிற்கும் ரப் ஆகிய அல்லாஹ்வுக்கே உரியதாகும்.
1,3,"அவன் மாபெருங் கருணையாளனாகவும், தனிப்பெருங்கிருபையாளனாகவும், இருக்கின்றான்."
1,4,இறுதித் தீர்ப்பு நாளின் அதிபதியாகவும் இருக்கின்றான்.
1,5,"உனக்கே நாங்கள் அடிபணிகிறோம். (இபாதத் செய்கிறோம்.) மேலும், உன்னிடமே நாங்கள் உதவி கேட்கிறோம்."
1,6,எங்களுக்கு நீ நேரான வழியைக் காண்பித்தருள்வாயாக!
1,7,(அவ்வழி) எவர்களுக்கு நீ அருள் புரிந்தாயோ அவர்களின் வழி;  உன்னுடைய கோபத்துக்கு ஆளாகாத மற்றும் நெறிதவறிப் போகாதவர்களின் வழி.
2,1,அலிஃப். லாம். மீம்.
2,2,"இது அல்லாஹ்வின் வேதமாகும்; இதில் யாதொரு சந்தேகமும் இல்லை, இறையச்சமுடையோர்க்கு (இது) சீரிய வழிகாட்டியாகும்."
2,3,அவர்கள் எத்தகையோர் என்றால் 'கைப் மறைவானவற்றை நம்புகிறார்கள். மேலும் தொழுகையை நிலைபெறச் செய்கிறார்கள். நாம் அவர்களுக்கு வழங்கியவற்றிலிருந்து செலவும் செய்கிறார்கள்.
2,4,"மேலும், உமக்கு இறக்கி அருளப்பட்ட வேதத்தின் (குர்ஆன்) மீதும், உமக்கு முன்னர் இறக்கியருளப்பட்ட வேதங்கள் மீதும் நம்பிக்கை கொள்கின்றார்கள். இறுதித் தீர்ப்புநாளின் (மறுமையின்) மீதும் அவர்கள் உறுதியான நம்பிக்கை கொள்கின்றார்கள்."
2,5,"இத்தகையோரே தம் இறைவனிடமிருந்து வந்த நேர்வழியில் இருப்பவர்கள். மேலும், இவர்களே வெற்றி பெறுபவர்கள்."
2,6,"(இவ்விஷயங்களை) யார் நிராகரித்தார்களோ, அவர்களை நீர் எச்சரிப்பதும், எச்சரிக்காதிருப்பதும் அவர்களைப் பொறுத்தவரை ஒன்றுதான். எவ்வகையிலும் அவர்கள் ஏற்றுக்கொள்ளக் கூடியவர்கள் அல்லர்."
2,7,"அல்லாஹ் அவர்களின் இதயங்கள் மீதும், அவர்களின் செவிப்புலன்கள் மீதும் முத்திரை வைத்து விட்டிருக்கிறான். மேலும் அவர்களுடைய பார்வைகள் மீது திரை விழுந்திருக்கிறது. தவிர அவர்கள் கடும் தண்டனைக்கு உரியவர்களாவர்."
2,8,"இன்னும் ""அல்லாஹ்வையும் இறுதி(த் தீர்ப்பு) நாளையும் நம்பியிருக்கிறோம்"" எனக் கூறுவோர் சிலரும் மனிதர்களில் உளர். ஆயினும், அவர்கள் நம்பிக்கை கொண்டோர் அல்லர்."
2,9,"(இப்படிக் கூறி) அவர்கள் அல்லாஹ்வையும், நம்பிக்கை கொண்டோரையும் ஏமாற்றுகின்றனர். ஆனால் (உண்மையில்) அவர்கள் தம்மைத் தாமே ஏமாற்றிக் கொள்கின்றனரேயன்றி வேறில்லை! எனினும் (இதனை) அவர்கள் உணர்வதில்லை."
2,10,அவர்களுடைய நெஞ்சங்களில் நோய் இருக்கிறது. அல்லாஹ் (இந்)நோயை அவர்களுக்கு இன்னும் அதிகப்படுத்திவிட்டான். மேலும் அவர்கள் பொய்யுரைத்துக் கொண்டிருந்த காரணத்தால் கொடிய தண்டனையும் அவர்களுக்குண்டு.
2,11,"இன்னும் ""பூமியில் குழப்பம் விளைவிக்காதீர்!"" என அவர்களிடம் சொல்லப்பட்டால், ""நிச்சயமாக நாங்கள் சீர்திருத்தம் செய்பவர்களே!"" என அவர்கள் கூறுகிறார்கள்."
2,12,எச்சரிக்கை! நிச்சயமாக அவர்கள்தாம் குழப்பவாதிகளாவர். ஆயினும் (இதனை) அவர்கள் உணர்வதில்லை.
2,13,"இன்னும் ""மற்ற மனிதர்கள் ஈமான் நம்பிக்கை கொண்டது போல் நீங்களும் நம்பிக்கை கொள்ளுங்கள்!"" என அவர்களிடம் சொல்லப்பட்டால் ""மூடர்கள் நம்பிக்கை கொண்டது போல் நாங்களும் நம்பிக்கை கொள்வதா?"" என்றே அவர்கள் பதில் சொல்கிறார்கள் எச்சரிக்கை! நிச்சயமாக இவர்கள்தாம் மூடர்களாவர். ஆயினும் (இதனை) அவர்கள் அறிவதில்லை!"
2,14,"இன்னும் இறைநம்பிக்கை கொண்டிருப்போரை அவர்கள் சந்தித்தால், 'நாங்கள் நம்பிக்கை கொண்டிருக்கிறோம்எனக் கூறுகின்றனர். மேலும் தங்கள் ஷைத்தான்களுடன் அவர்கள் தனிமையில் இருக்கும்போது, ""நிச்சயமாக நாங்கள் உங்களுடன்தான் இருக்கிறோம்! உண்மையில் நாங்கள் அவர்களைப் பரிகாசம்தான் செய்து கொண்டிருக்கிறோம்"" எனச் சொல்கின்றனர்."
2,15,அல்லாஹ் அவர்களைப் பரிகாசம் செய்து கொண்டிருக்கிறான். (அவன்) அவர்களுக்கு அவகாசம் அளித்துக் கொண்டு இருக்கின்றான்; (அவர்களோ) தமது வரம்பு மீறிய நடத்தையில் கண்மூடித்தனமாக உழன்று கொண்டேயிருக்கிறார்கள்.
2,16,இத்தகையோரே நேர்வழிக்குப் பகரமாக வழிகேட்டைக் கொள்முதல் செய்தோர்! ஆனால் இவர்களின் இவ்வாணிபம் இலாபம் தரக்கூடியதாக இல்லை. இன்னும் (அறவே) நேர்வழி பெற்றவர்களாகவும் இவர்கள் இருக்கவில்லை.
2,17,இத்தகையோரின் உவமானம் (பின்வரும்) உதாரணத்தைப்போல் இருக்கிறது: ஒருவர் தீயை மூட்டினார்; அது அவரைச் சுற்றிலும் ஒளி வீசியபோது அல்லாஹ் அவர்களின் ஒளியைப் பறித்து விட்டான். மேலும் எதையுமே அவர்கள் காணமுடியாத நிலையில் அவர்களை இருள்களில் விட்டு விட்டான்.
